workid,work,male,female,sum,permale,perfemamle
1,金融及保險業,143343,231791,375134,0.38 ,0.62 
2,電力及燃氣供應業,25546,4244,29790,0.86 ,0.14 
3,醫療保健服務業,65067,269454,334521,0.19 ,0.81 
4,資訊及通訊傳播業,102715,92946,195661,0.52 ,0.48 
5,專業、科學及技術服務業,134112,118947,253059,0.53 ,0.47 
6,運輸及倉儲業,192866,90951,283817,0.68 ,0.32 
7,礦業及土石採取業,3212,688,3900,0.82 ,0.18 
8,批發及零售業,775454,865439,1640893,0.47 ,0.53 
9,用水供應及污染整治業,21370,6463,27833,0.77 ,0.23 
10,製造業,1613930,1102573,2716503,0.59 ,0.41 
11,不動產業,58244,58904,117148,0.50 ,0.50 
12,營造業,386161,74521,460682,0.84 ,0.16 
13,住宿服務業,29496,39141,68637,0.43 ,0.57 
14,藝術、娛樂及休閒服務業,28482,27058,55540,0.51 ,0.49 
15,教育服務業,22834,50439,73273,0.31 ,0.69 
16,支援服務業,171299,170253,341552,0.50 ,0.50 
17,其他服務業,36357,50024,86381,0.42 ,0.58 
