workid,Year,work,salaryMale,salaryFemale,average
1,98,金融及保險業,75950,62695,69322.5
1,99,金融及保險業,83495,68450,75972.5
1,100,金融及保險業,87673,70230,78951.5
1,101,金融及保險業,87651,71997,79824
1,102,金融及保險業,86863,72380,79621.5
1,103,金融及保險業,90433,78547,84490
1,104,金融及保險業,93015,79552,86283.5
2,98,電力及燃氣供應業,99436,75109,87272.5
2,99,電力及燃氣供應業,99134,79061,89097.5
2,100,電力及燃氣供應業,98058,77726,87892
2,101,電力及燃氣供應業,95885,73552,84718.5
2,102,電力及燃氣供應業,91533,72173,81853
2,103,電力及燃氣供應業,96809,76904,86856.5
2,104,電力及燃氣供應業,99346,78969,89157.5
3,98,醫療保健服務業,95989,48000,71994.5
3,99,醫療保健服務業,94984,48541,71762.5
3,100,醫療保健服務業,97083,50584,73833.5
3,101,醫療保健服務業,96682,50970,73826
3,102,醫療保健服務業,95665,50764,73214.5
3,103,醫療保健服務業,96517,52560,74538.5
3,104,醫療保健服務業,99187,55631,77409
4,98,資訊及通訊傳播業,66948,55899,61423.5
4,99,資訊及通訊傳播業,69756,57830,63793
4,100,資訊及通訊傳播業,72177,59490,65833.5
4,101,資訊及通訊傳播業,73090,59999,66544.5
4,102,資訊及通訊傳播業,71451,58862,65156.5
4,103,資訊及通訊傳播業,72727,59153,65940
4,104,資訊及通訊傳播業,72677,59576,66126.5
5,98,專業、科學及技術服務業,54288,44959,49623.5
5,99,專業、科學及技術服務業,57092,48191,52641.5
5,100,專業、科學及技術服務業,60194,49551,54872.5
5,101,專業、科學及技術服務業,61960,49953,55956.5
5,102,專業、科學及技術服務業,60483,49679,55081
5,103,專業、科學及技術服務業,62663,51364,57013.5
5,104,專業、科學及技術服務業,63364,52489,57926.5
6,98,運輸及倉儲業,50269,42040,46154.5
6,99,運輸及倉儲業,50968,43963,47465.5
6,100,運輸及倉儲業,52260,45281,48770.5
6,101,運輸及倉儲業,52418,44991,48704.5
6,102,運輸及倉儲業,52123,44498,48310.5
6,103,運輸及倉儲業,52407,44799,48603
6,104,運輸及倉儲業,53841,45660,49750.5
7,98,礦業及土石採取業,54430,30762,42596
7,99,礦業及土石採取業,56872,34940,45906
7,100,礦業及土石採取業,57731,38012,47871.5
7,101,礦業及土石採取業,56440,37519,46979.5
7,102,礦業及土石採取業,57708,41831,49769.5
7,103,礦業及土石採取業,57463,41204,49333.5
7,104,礦業及土石採取業,56391,42176,49283.5
8,98,批發及零售業,43301,36977,40139
8,99,批發及零售業,44805,38879,41842
8,100,批發及零售業,45904,39410,42657
8,101,批發及零售業,44946,38906,41926
8,102,批發及零售業,45590,39212,42401
8,103,批發及零售業,47798,41403,44600.5
8,104,批發及零售業,48437,42845,45641
9,98,用水供應及污染整治業,45062,40863,42962.5
9,99,用水供應及污染整治業,45760,42961,44360.5
9,100,用水供應及污染整治業,46398,43940,45169
9,101,用水供應及污染整治業,44423,41297,42860
9,102,用水供應及污染整治業,44779,42045,43412
9,103,用水供應及污染整治業,45221,43508,44364.5
9,104,用水供應及污染整治業,44385,43515,43950
10,98,製造業,44437,31341,37889
10,99,製造業,48012,33965,40988.5
10,100,製造業,49289,34651,41970
10,101,製造業,49404,35357,42380.5
10,102,製造業,49425,35624,42524.5
10,103,製造業,50974,36746,43860
10,104,製造業,52853,37892,45372.5
11,98,不動產業,40968,36274,38621
11,99,不動產業,42465,39465,40965
11,100,不動產業,42324,41573,41948.5
11,101,不動產業,39311,39876,39593.5
11,102,不動產業,39601,41039,40320
11,103,不動產業,42984,42841,42912.5
11,104,不動產業,42268,42433,42350.5
12,98,營造業,42677,30874,36775.5
12,99,營造業,43682,30244,36963
12,100,營造業,45009,30825,37917
12,101,營造業,45030,30697,37863.5
12,102,營造業,44879,30539,37709
12,103,營造業,45364,32255,38809.5
12,104,營造業,45323,33104,39213.5
13,98,住宿及餐飲業,29510,25481,27495.5
13,99,住宿及餐飲業,30523,25838,28180.5
13,100,住宿及餐飲業,32078,27988,30033
13,101,住宿及餐飲業,32474,28401,30437.5
13,102,住宿及餐飲業,33108,28598,30853
13,103,住宿及餐飲業,33925,30119,32022
13,104,住宿及餐飲業,34870,30894,32882
14,98,藝術、娛樂及休閒服務業,37461,24653,31057
14,99,藝術、娛樂及休閒服務業,38918,25990,32454
14,100,藝術、娛樂及休閒服務業,39283,26799,33041
14,101,藝術、娛樂及休閒服務業,41965,28328,35146.5
14,102,藝術、娛樂及休閒服務業,42528,28794,35661
14,103,藝術、娛樂及休閒服務業,42156,28898,35527
14,104,藝術、娛樂及休閒服務業,43613,28366,35989.5
15,98,教育服務業,25119,21074,23096.5
15,99,教育服務業,25267,21325,23296
15,100,教育服務業,25106,21278,23192
15,101,教育服務業,25556,21645,23600.5
15,102,教育服務業,26042,21585,23813.5
15,103,教育服務業,27422,22747,25084.5
15,104,教育服務業,27045,23060,25052.5
16,98,支援服務業,32119,30969,31544
16,99,支援服務業,32981,31598,32289.5
16,100,支援服務業,33329,32669,32999
16,101,支援服務業,33479,33803,33641
16,102,支援服務業,34145,33540,33842.5
16,103,支援服務業,35000,34818,34909
16,104,支援服務業,35731,35610,35670.5
17,98,其他服務業,34211,26780,30495.5
17,99,其他服務業,36153,27320,31736.5
17,100,其他服務業,37727,28970,33348.5
17,101,其他服務業,37477,29318,33397.5
17,102,其他服務業,38405,29592,33998.5
17,103,其他服務業,40386,31146,35766
17,104,其他服務業,39607,30833,35220
